what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596229500679
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1596229506160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596229506172
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596229531959
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1596229532096
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596229533996
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596229534023
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1596229534043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596229537525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596229539821
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1596229545420
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596229545697
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1596229548533
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596229548543
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596229549453
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596229554546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1596229555958
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596229557790
