what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1596228769170
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1596228769171
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1596228769183
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1596228769183
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1596228769185
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1596228769186
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1596228769187
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1596228769188
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1596228769189
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1596228769199
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1596228769199
os,sysinfo,,,"linux",1596228769204
arch,sysinfo,,,"x86",1596228769204
ws,sysinfo,,,"gtk",1596228769204
locale,sysinfo,,,"en_IN",1596228769204
processors,sysinfo,,,"4",1596228769204
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1596228769204
java.runtime.version,sysinfo,,,"1.8.0_222-8u222-b10-1~14.04-b10",1596228769204
java.specification.name,sysinfo,,,"Java Platform API Specification",1596228769204
java.specification.vendor,sysinfo,,,"Oracle Corporation",1596228769204
java.specification.version,sysinfo,,,"1.8",1596228769204
java.vendor,sysinfo,,,"Private Build",1596228769204
java.version,sysinfo,,,"1.8.0_222",1596228769204
java.vm.info,sysinfo,,,"mixed mode",1596228769204
java.vm.name,sysinfo,,,"OpenJDK Server VM",1596228769204
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1596228769204
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1596228769204
java.vm.specification.version,sysinfo,,,"1.8",1596228769204
java.vm.vendor,sysinfo,,,"Private Build",1596228769204
java.vm.version,sysinfo,,,"25.222-b10",1596228769204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596228770524
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1596228772110
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596228772382
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1596228773081
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1596228773082
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1596228773083
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1596228773084
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1596228773142
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1596228773151
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1596228773157
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1596228773175
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1596228773189
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1596228773205
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1596228773213
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1596228773222
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1596229171801
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1596229171804
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1596229171806
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1596229171806
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1596229171808
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1596229171809
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1596229171810
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1596229171810
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1596229171811
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1596229171813
